# 2MASS              f_2MASS OSpT  OSpT_flt OGrav  IRSpT    IRSpT_flt IGrav      f_IRSpT spt_flt_assumed Jmag   e_Jmag Hmag   e_Hmag Ksmag  e_Ksmag W1mag  e_W1mag W2mag  e_W2mag W3mag  e_W3mag W4mag e_W4mag Ref        Nm Nrv Nir Npm Np pmRA     e_pmRA  pmDE     e_pmDE  Plx    e_Plx Dist e_Dist RV     e_RV  E_RV u_RV Ref2   l_PBII PBII  l_CBII CBII   GBII     PL    GL       PC    GC       PBI   GBI      Mm  MCat 2M SimbadName                _RA       _DE      
  02265658-5327032   ""      ""    ""       -      L0       10        delta      ""      10              15.403 0.044  14.346 0.05   13.752 0.045   13.219 0.025   12.783 0.026   11.58  0.14    8.64  0.256   5          "" 0   0   0   0  0.0936   0.0053  -0.0028  0.0107  ""     ""    ""   ""     ""     ""    ""   ""   "1; 10" >      99.9  <      0.1    TUC-HOR  65.9  TUC-HOR  43.0  TUC-HOR  77.57 TUC-HOR  AM  0    2M "2MASS J02265658-5327032" 36.73582  -53.45087
  02292794-0053282   ""      ""    ""       -      L0       10        gamma      ""      10              16.49  0.099  15.746 0.099  15.182 0.138   14.72  0.032   14.328 0.045   12.679 ""      8.724 ""      6          "" 0   0   0   0  -0.009   0.098   -0.054   0.202   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     79.8  ""     1.3    "BETA PIC" 81.02 "AB DOR" 96.0  "AB DOR" 100.0 OLD      AM  1    2M "2MASS J02292794-0053282" 37.36645  -0.89119 
  02340093-6442068   ""      L0    10       gamma  L0       10        "beta gamma" a     10                15.325 0.062  14.442 0.055  13.85  0.069   13.247 0.025   12.905 0.026   12.619 0.279   9.494 ""      "15; 27"   *  2   1   1   0  0.088    0.012   -0.015   0.012   ""     ""    21   5      11.762 0.721 ""   ""   1      ""     100.0 ""     0.0    TUC-HOR  99.56 TUC-HOR  80.0  TUC-HOR  100.0 TUC-HOR  HLM 1    2M "2MASS J02340093-6442068" 38.5039   -64.70195
  02410564-5511466   ""      ""    ""       -      L1       11        gamma      ""      11              15.387 0.057  14.326 0.052  13.739 0.038   13.185 0.023   12.809 0.026   12.249 0.242   9.349 ""      5          *  0   0   0   0  0.0965   0.0052  -0.0123  0.0106  ""     ""    24   4      11.73  2.44  ""   :    "1; 10" >      99.9  <      0.1    TUC-HOR  71.24 TUC-HOR  99.9  TUC-HOR  95.36 TUC-HOR  HLM 0    2M "2MASS J02410564-5511466" 40.27356  -55.19629
  02411151-0326587   ""      L0    10       gamma  L1       11        gamma      ""      10              15.799 0.064  14.811 0.053  14.04  0.049   13.638 0.025   13.256 0.029   12.766 0.415   9.0   ""      "14; 6"    *  1   0   0   1  0.0737   0.001   -0.0242  0.0019  21.4   2.6   ""   ""     6.34   7.98  ""   ""   1      ""     48.5  ""     0.0    TUC-HOR  0.0   NONE     35.0  CHA-NEAR 90.0  OLD      AM  1    2M "2MASS J02411151-0326587" 40.298    -3.44967 
  02501167-0151295   f       ""    ""       -      M7       7         beta       ""      7               12.886 0.026  12.278 0.021  11.909 0.017   11.691 0.023   11.451 0.022   11.035 0.158   8.827 ""      5          *  0   0   0   0  0.0627   0.0087  -0.0306  0.009   30.2   4.5   ""   ""     ""     ""    ""   ""   "25; 10" ""     92.9  ""     1.1    "BETA PIC" 0.0   NONE     98.8  TUC-HOR  67.1  OLD      AM  0    2M "2MASS J02501167-0151295" 42.54864  -1.85823 
  02530084+1652532   d       M6.5  6.5      -      M7       7         beta       d       6.5             8.394  0.021  7.883  0.037  7.585  0.043   7.322  0.027   7.057  0.02    6.897  0.017   6.718 0.076   "20; 25; 5" *  0   0   0   0  1.5124   0.0406  0.4305   0.0447  260.63 2.69  ""   ""     ""     ""    ""   ""   24     ""     ""    ""     ""     FIELD    0.0   NONE     0.0   NONE     100.0 OLD      NM  1    2M "2MASS J02530084+1652532" 43.25371  16.88129 
  02535980+3206373   ""      M7    7        beta   M6       6         beta       ""      7               13.616 0.021  12.931 0.02   12.55  0.023   12.324 0.025   12.127 0.024   11.808 0.25    8.509 ""      "27; 36"   *  0   0   0   1  0.087    0.01    -0.096   0.01    17.7   2.5   ""   ""     ""     ""    ""   ""   1      ""     57.8  ""     26.5   "BETA PIC" 20.61 "AB DOR" 100.0 "BETA PIC" 97.0  "BETA PIC" AM  1    2M "2MASS J02535980+3206373" 43.49924  32.11031 
  02583123-1520536   ""      ""    ""       -      L3       13        beta       ""      13              15.908 0.072  14.866 0.06   14.192 0.055   13.623 0.025   13.194 0.028   12.578 0.305   9.542 ""      5          "" 0   0   0   0  0.0625   0.0098  -0.0581  0.0097  ""     ""    ""   ""     ""     ""    ""   ""   "1; 10" ""     88.9  <      0.1    TUC-HOR  0.0   NONE     77.4  "AB DOR" 49.82 "BETA PIC" AM  0    2M "2MASS J02583123-1520536" 44.63015  -15.34822
  03032042-7312300   ""      L2    12       gamma  ""       ""        -          ""      12              16.137 0.107  15.096 0.085  14.32  0.084   13.777 0.025   13.35  0.026   12.288 0.167   9.344 0.341   15         "" 0   0   1   0  0.043    0.012   0.003    0.012   ""     ""    ""   ""     ""     ""    ""   ""   1      ""     40.7  ""     0.0    TUC-HOR  31.44 TUC-HOR  98.0  TUC-HOR  87.0  OLD      AM  1    2M "2MASS J03032042-7312300" 45.8351   -73.20834
  03164512-2848521   ""      L0    10       -      L1       11        beta       ""      10              14.578 0.039  13.772 0.035  13.114 0.035   12.649 0.023   12.312 0.023   11.743 0.125   9.364 ""      "7; 5"     "" 0   0   0   0  0.0952   0.0082  -0.081   0.0094  ""     ""    ""   ""     ""     ""    ""   ""   10     ""     96.9  ""     3.2    "AB DOR" 50.99 TUC-HOR  99.8  "AB DOR" 99.25 "AB DOR" AM  0    2M "2MASS J03164512-2848521" 49.18809  -28.81449
  03231002-4631237   ""      L0    10       gamma  L0       10        gamma      a       10              15.389 0.069  14.321 0.061  13.7   0.05    13.075 0.024   12.665 0.024   11.939 0.16    9.18  ""      "2; 27"    *  2   1   1   0  0.066    0.008   0.001    0.016   ""     ""    17   3      13.001 0.045 ""   ""   1      ""     99.7  ""     0.0    TUC-HOR  73.08 TUC-HOR  92.0  TUC-HOR  100.0 TUC-HOR  HLM 1    2M "2MASS J03231002-4631237" 50.79171  -46.52321
  03264225-2102057   ""      L5    15       beta   L5       15        "beta gamma" a     15                16.134 0.093  14.793 0.075  13.92  0.065   12.95  0.024   12.435 0.023   12.173 0.203   9.663 ""      "5; 27"    *  0   1   0   0  0.108    0.014   -0.146   0.015   ""     ""    41   1      22.91  2.07  ""   :    "1; 2" ""     99.4  ""     1.0    "AB DOR" 44.89 "AB DOR" 66.0  "AB DOR" 99.0  "AB DOR" HLM 1    2M "2MASS J03264225-2102057" 51.67607  -21.03494
  03350208+2342356   g       M8.5  8.5      -      M7.5     7.5       beta       ""      8.5             12.25  0.017  11.655 0.02   11.261 0.014   11.044 0.023   10.767 0.02    10.762 0.13    8.932 ""      "12; 6"    *  0   0   0   0  0.054    0.01    -0.056   0.01    23.6   1.3   ""   ""     15.5   1.7   ""   ""   12     ""     76.2  ""     4.9    "BETA PIC" 32.48 ARGUS    98.0  COLUMBA  79.0  OLD      AM  1    2M "2MASS J03350208+2342356" 53.75872  23.70984 
  03393521-3525440   ""      M9    9        beta   L0       10        beta       ""      9               10.725 0.018  10.017 0.02   9.55   0.021   9.133  0.022   8.808  0.019   8.272  0.017   7.997 0.11    "12; 6; 27" *  1   0   0   0  0.3058   4.0E-4  0.270548 4.0E-4  155.89 1.03  ""   ""     6.92   1.05  ""   ""   "1; 13" ""     40.2  ""     0.2    ARGUS    43.82 "COMA BER" 0.0   NONE     100.0 OLD      AM  1    2M "2MASS J03393521-3525440" 54.89689  -35.42879
  03420931-2904317   ""      ""    ""       -      L0       10        beta       ""      10              15.918 0.085  15.353 0.106  14.378 0.085   13.969 0.027   13.54  0.032   12.673 ""      9.237 ""      5          "" 0   0   0   0  0.0671   0.01    -0.0207  0.0122  ""     ""    ""   ""     ""     ""    ""   ""   "1; 10" ""     99.7  <      0.1    TUC-HOR  27.86 TUC-HOR  96.5  TUC-HOR  51.92 COLUMBA  AM  0    2M "2MASS J03420931-2904317" 55.53879  -29.07548
  03421621-6817321   ""      L4    14       gamma  ""       ""        -          ""      14              16.854 0.138  15.386 0.086  14.541 0.089   13.955 0.025   13.482 0.025   12.994 0.405   9.723 ""      5          *  0   0   0   0  0.0653   0.0028  0.0185   0.0091  ""     ""    21   9      13.87  2.62  ""   :    1      ""     99.8  <      0.1    TUC-HOR  28.33 TUC-HOR  99.7  TUC-HOR  98.71 TUC-HOR  HLM 1    2M "2MASS J03421621-6817321" 55.56755  -68.29225
